"pid","address","value","buildings","year","land","living","good","style","model","grade","beds","baths","heatfuel","heattype","ac","nghd"
2847,"710 WOODWARD AV",118930,1,1917,0.14,1396,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0300"
2850,"21 FAIRVIEW AV",131530,1,1950,0.42,1250,78,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0300"
2866,"642 WOODWARD AV",108080,1,1920,0.14,1650,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0300"
2871,"624 WOODWARD AV",115570,1,1920,0.18,1725,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Steam","None","	 0300"
2882,"730 WOODWARD AV",100310,1,1910,0.15,1380,63,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0300"
2975,"212 FULTON TER",64890,1,1910,0.19,944,68,"Cape Cod","Single Family","Below Average",2,1,"Oil/Gas","None","None","	 0400"
3051,"25 CHAMBERLAIN ST #25",84420,1,1915,0.13,921,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3056,"63 CHAMBERLAIN ST",70490,1,1920,0.23,998,66,"Colonial","Single Family","Below Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3071,"6 BROWN PL",87920,1,1920,0.07,1312,68,"Cape Cod","Single Family","Average",4,2,"Oil/Gas","FA/HW/ST","None","	 0400"
3092,"1242 TOWNSEND AV",92190,1,1890,0.1,1316,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","Hot Water","None","	 0400"
3104,"825 WOODWARD AV",100660,1,1930,0.3,1140,78,"Colonial","Single Family","Average",2,2,"Oil/Gas","FA/HW/ST","None","	 0400"
3108,"847 WOODWARD AV",115150,1,1930,0.16,1609,78,"Colonial","Single Family","Average",3,2,"Oil/Gas","Steam","None","	 0400"
3109,"851 WOODWARD AV",107590,1,1925,0.15,1524,78,"Cape Cod","Single Family","Average",2,1,"Gas/Oil","Hot Water","None","	 0400"
3122,"15 IRVINGTON ST",93800,1,1925,0.15,1320,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0400"
3128,"45 IRVINGTON ST",110600,1,1900,0.14,1335,78,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3129,"49 IRVINGTON ST",93800,1,1920,0.14,1188,68,"Cape Cod","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0400"
3132,"61 IRVINGTON ST",102060,1,1960,0.11,1482,68,"Colonial","Single Family","Average",3,2,"Oil/Gas","Radiant","None","	 0400"
3134,"75 IRVINGTON ST",107940,1,1969,0.14,1770,68,"Colonial","Single Family","Average",3,1,"Electric","Electr Basebrd","None","	 0400"
3143,"54 ASHLAND PL",108710,1,1930,0.17,1044,78,"Bungalow","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3148,"24 ASHLAND PL",102480,1,1916,0.13,1664,55,"Colonial","Single Family","Above Average",3,2,"Gas/Oil","FA/HW/ST","None","	 0400"
3149,"20 ASHLAND PL",104370,1,1915,0.14,1284,68,"Colonial","Single Family","Above Average",3,1,"Gas/Oil","Hot Water","None","	 0400"
3152,"1235 TOWNSEND AV",111580,1,1905,0.09,2023,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3153,"1239 TOWNSEND AV",100590,1,1915,0.1,1474,68,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0400"
3179,"60 IRVINGTON ST",92260,1,1930,0.14,1080,68,"Bungalow","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0400"
3186,"24 IRVINGTON ST",131880,1,1910,0.11,1648,78,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3187,"20 IRVINGTON ST",163660,1,1925,0.1,1876,90,"Colonial","Single Family","Above Average",3,2,"Oil/Gas","Forced Hot Air","None","	 0400"
3200,"121 OAKLEY ST",119000,1,1925,0.11,1387,78,"Cape Cod","Single Family","Average",3,2,"Gas/Oil","FA/HW/ST","None","	 0400"
3201,"125 OAKLEY ST",109550,1,1900,0.13,1512,78,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3216,"28 CHESTER ST",115640,1,1930,0.13,1547,68,"Colonial","Single Family","Above Average",3,2,"Oil/Gas","Hot Water","None","	 0400"
3217,"20 CHESTER ST",83930,1,1956,0.25,784,68,"Ranch","Single Family","Average",2,1,"Gas/Oil","Hot Water","None","	 0400"
3257,"131 BURWELL ST",97860,1,1910,0.14,1396,68,"Cape Cod","Single Family","Above Average",2,2,"Oil/Gas","Hot Water","None","	 0400"
3260,"143 BURWELL ST",116550,1,1900,0.14,1501,68,"Cape Cod","Single Family","Above Average",2,2,"Oil/Gas","FA/HW/ST","Central","	 0400"
3261,"147 BURWELL ST",147840,1,1956,0.28,2498,68,"Cape Cod","Single Family","Average",5,2,"Gas/Oil","Hot Water","None","	 0400"
3276,"66 MILTON ST",65450,1,1912,0.19,816,68,"Bungalow","Single Family","Below Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3277,"62 MILTON ST",111510,1,1930,0.16,1230,78,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","Hot Water","None","	 0400"
3294,"29 RIVERVIEW RD",165410,1,1958,0.29,1872,68,"Ranch","Single Family","Ave/Good",3,1,"Oil/Gas","FA/HW/ST","Central","	 0400"
3295,"45 RIVERVIEW RD",101640,1,1956,0.31,1383,68,"Ranch","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3298,"15 CROFTON ST",126210,1,2008,0.11,1284,90,"Raised Ranch","Single Family","Above Average",3,2,"Gas/Oil","FA/HW/ST","Partial","	 0400"
3299,"25 CROFTON ST",93520,1,1960,0.29,1166,68,"Ranch","Single Family","Average",2,1,"Oil/Gas","Hot Water","None","	 0400"
3303,"59 CROFTON ST",105910,1,1956,0.23,1040,68,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","Hot Water","Central","	 0400"
3304,"65 CROFTON ST",129500,1,2005,0.11,1680,90,"Raised Ranch","Single Family","Above Average",3,2,"Oil/Gas","Hot Water","Central","	 0400"
3305,"79 CROFTON ST",143640,1,1968,0.23,1544,78,"Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0400"
3308,"115 CROFTON ST",105280,1,1950,0.23,1344,68,"Cape Cod","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0400"
3309,"125 CROFTON ST",88410,1,1970,0.11,1056,72,"Ranch","Single Family","Average",1,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3313,"84 OVERLOOK ST",89880,1,1900,0.11,1128,68,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3333,"140 BURWELL ST",91700,1,1962,0.29,1136,68,"Ranch","Single Family","Average",2,1,"Gas/Oil","Hot Water","None","	 0400"
3401,"217 FULTON ST",87780,1,1959,0.11,936,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","Hot Water","Central","	 0400"
3446,"34 CHAMBERLAIN PL",72800,1,1915,0.1,1092,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","Hot Water","None","	 0400"
3471,"57 GOODWIN ST",45990,1,1956,0.12,896,32,"Ranch","Single Family","Below Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3485,"58 FULTON ST",79940,1,1900,0.08,1101,68,"Bungalow","Single Family","Below Average",2,2,"Oil/Gas","FA/HW/ST","None","	 0400"
3575,"168 FAIRMONT AV",109060,1,1930,0.72,1532,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3607,"179 FAIRMONT AV",90720,1,1900,0.15,1696,55,"Colonial","Single Family","Average",5,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3650,"247 FAIRMONT AV",100940,1,1953,0.18,1081,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","Hot Water","None","	 0400"
3694,"88 PARDEE ST",124320,1,2002,0.11,1400,93,"Colonial","Single Family","Average",3,2,"Gas/Oil","FA/HW/ST","None","	 0400"
3712,"75 PARDEE ST",127610,1,2002,0.14,1344,88,"Colonial","Single Family","Above Average",3,2,"Gas/Oil","FA/HW/ST","None","	 0400"
3714,"85 PARDEE ST",80990,1,1900,0.11,842,68,"Cape Cod","Single Family","Average",4,1,"Gas/Oil","FA/HW/ST","None","	 0400"
3715,"87 PARDEE ST",87570,1,1900,0.07,864,68,"Colonial","Single Family","Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0400"
3718,"99 PARDEE ST",87570,1,1900,0.06,960,78,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3719,"105 PARDEE ST",115640,1,2002,0.14,1576,78,"Colonial","Single Family","Average",3,2,"Gas/Oil","FA/HW/ST","Central","	 0400"
3775,"209 QUINNIPIAC AV",89180,1,1956,0.16,960,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3827,"27 WARWICK ST",98350,1,1930,0.12,1499,78,"Cape Cod","Single Family","Below Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3846,"122 CROFTON ST",86450,1,1973,0.11,853,83,"Ranch","Single Family","Average",1,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3847,"116 CROFTON ST",119000,1,1965,0.23,1382,68,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3850,"100 CROFTON ST",161070,1,1958,0.32,2053,68,"Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0400"
3851,"70 CROFTON ST",110460,1,1956,0.29,1650,68,"Cape Cod","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0400"
3888,"80 CABOT ST",95550,1,1921,0.17,1577,68,"Bungalow","Single Family","Average",4,1,"Oil/Gas","FA/HW/ST","None","	 0600"
3889,"78 CABOT ST",110390,1,1988,0.17,1220,82,"Raised Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
3895,"140 RUSSELL ST",129220,1,1973,0.24,1548,72,"Raised Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
3903,"115 RUSSELL ST",140840,1,1951,0.29,1941,68,"Cape Cod","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","Heat Pump","	 0600"
3915,"171 RUSSELL ST",127330,1,1954,0.88,1368,68,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","Hot Water","None","	 0600"
3918,"201 RUSSELL ST",343210,1,1924,16.91,1768,68,"Colonial","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0600"
3919,"203 RUSSELL ST",153790,1,1924,0.51,2105,90,"Cape Cod","Single Family","Above Average",4,2,"Oil/Gas","Hot Water","Central","	 0600"
3922,"231 RUSSELL ST",122640,1,1946,0.42,1775,68,"Colonial","Single Family","Above Average",4,1,"Oil/Gas","Hot Water","None","	 0600"
3925,"257 RUSSELL ST",65660,1,1900,0.26,864,68,"Colonial","Single Family","Below Average",2,1,"Gas/Oil","FA/HW/ST","None","	 0600"
3929,"275 RUSSELL ST",80010,1,1915,0.11,1382,58,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
3933,"38 SLEEPY HOLLOW CIR #6",117460,1,1988,0.25,1196,82,"Raised Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
3934,"44 SLEEPY HOLLOW CIR #7",124950,1,1988,0.24,1184,82,"Raised Ranch","Single Family","Above Average",3,2,"Gas/Oil","Forced Hot Air","Central","	 0600"
3935,"52 SLEEPY HOLLOW CIR #8",120330,1,1988,0.21,1190,82,"Raised Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0600"
3938,"76 SLEEPY HOLLOW CIR #11",118790,1,1988,0.21,1150,82,"Raised Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
3939,"84 SLEEPY HOLLOW CIR #12",112770,1,1988,0.18,1196,82,"Raised Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
3952,"264 RUSSELL ST",76860,1,1845,0.77,1248,55,"Colonial","Single Family","Average",2,1,"Gas/Oil","Hot Water","None","	 0600"
3954,"240 RUSSELL ST",119420,1,1981,0.35,1143,80,"Raised Ranch","Single Family","Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0600"
3955,"228 RUSSELL ST",102550,1,1923,0.7,1192,68,"Colonial","Single Family","Above Average",3,2,"Oil/Gas","Hot Water","None","	 0600"
3958,"139 SUMMIT ST",188440,1,1981,2.09,1972,80,"Raised Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
3959,"141 SUMMIT ST",143360,1,1984,0.57,1236,80,"Raised Ranch","Single Family","Above Average",2,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
3963,"145 SUMMIT ST",178010,1,1950,0.32,2096,78,"Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
3972,"38 LEXINGTON AV",141750,1,1938,0.73,1753,78,"Cape Cod","Single Family","Above Average",3,2,"Gas/Oil","Hot Water","Central","	 0500"
3978,"90 LEXINGTON AV",62510,1,1925,0.14,998,68,"Ranch","Single Family","Below Average",3,1,"Oil/Gas","Forced Hot Air","Central","	 0500"
3980,"96 LEXINGTON AV",83720,1,1920,0.22,1301,68,"Bungalow","Single Family","Average",2,1,"Gas/Oil","Hot Water","None","	 0500"
4008,"65 LENOX ST",70910,1,1950,0.17,906,63,"Bungalow","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4045,"125 LEXINGTON AV",75250,1,1950,0.15,1148,68,"Cape Cod","Single Family","Below Average",4,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4048,"135 LEXINGTON AV",80920,1,1948,0.11,1152,68,"Cape Cod","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","None","	 0500"
4049,"141 LEXINGTON AV",118090,1,1920,0.11,1344,89,"Colonial","Single Family","Above Average",3,2,"Oil/Gas","Steam","None","	 0500"
4052,"57 REVERE ST",115220,1,2002,0.14,1028,88,"Raised Ranch","Single Family","Above Average",4,2,"Gas/Oil","FA/HW/ST","None","	 0500"
4053,"70 REVERE ST",220780,1,2009,1,2513,94,"Cape Cod","Single Family","Good",3,2,"Gas/Oil","FA/HW/ST","Central","	 0500"
4068,"490 QUINNIPIAC AV",119350,1,1800,0.2,1053,78,"Cape Cod","Single Family","Above Average",4,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4106,"132 LENOX ST",92540,1,1956,0.23,1040,68,"Ranch","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","Central","	 0500"
4126,"210 LENOX ST",91980,1,1910,0.12,1336,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4130,"190 LENOX ST",163870,1,1988,0.11,2520,88,"Colonial","Single Family","Average",3,2,"Gas/Oil","FA/HW/ST","None","	 0500"
4137,"525 QUINNIPIAC AV",130130,1,1880,0.22,1253,93,"Colonial","Single Family","Above Average",2,2,"Oil/Gas","FA/HW/ST","None","	 0500"
4147,"55 OXFORD ST",101150,1,1927,0.11,1377,78,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4151,"178 LEXINGTON AV",128520,1,1920,0.16,1655,78,"Cape Cod","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","Central","	 0500"
4156,"152 LEXINGTON AV",89460,1,1935,0.11,1194,78,"Bungalow","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4157,"30 REVERE ST",114030,1,2006,0.11,1222,90,"Raised Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0500"
4160,"127 LENOX ST",122150,1,1930,0.23,1525,78,"Colonial","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0500"
4161,"135 LENOX ST",84420,1,1900,0.25,1156,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4171,"256 LEXINGTON AV",116550,1,1922,0.11,1606,68,"Cape Cod","Single Family","Above Average",3,1,"Oil/Gas","Forced Hot Air","None","	 0500"
4176,"226 LEXINGTON AV",112630,1,1930,0.15,1652,78,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4182,"204 LEXINGTON AV",83860,1,1935,0.11,1409,68,"Bungalow","Single Family","Average",2,1,"Gas/Oil","FA/HW/ST","Central","	 0500"
4183,"62 OXFORD ST",115430,1,1940,0.16,1806,68,"Cape Cod","Single Family","Above Average",4,2,"Oil/Gas","Hot Water","None","	 0500"
4212,"31 ROCK HILL RD",99190,1,1952,0.25,1628,68,"Cape Cod","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4213,"39 ROCK HILL RD",97790,1,1960,0.24,1726,68,"Cape Cod","Single Family","Average",2,2,"Oil/Gas","FA/HW/ST","None","	 0500"
4215,"170 SUMMIT ST",195160,1,1950,0.84,2647,78,"Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0500"
4219,"50 REVERE ST",112210,1,1950,0.23,1292,68,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4232,"177 LEXINGTON AV",97580,1,1860,0.24,1249,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4239,"11 ELDRIDGE ST",93380,1,1869,0.77,1296,68,"Colonial","Single Family","Above Average",2,2,"Oil/Gas","Hot Water","None","	 0500"
4242,"230 SUMMIT ST",95550,1,1963,0.37,1205,68,"Ranch","Single Family","Average",2,1,"Oil/Gas","Hot Water","None","	 0500"
4244,"212 SUMMIT ST",129430,1,1920,2.23,1566,68,"Ranch","Single Family","Above Average",4,1,"Oil/Gas","Hot Water","None","	 0500"
4245,"200 SUMMIT ST",120680,1,1987,0.25,1450,82,"Raised Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0500"
4248,"22 ROCK HILL RD",86520,1,1950,0.16,1290,68,"Cape Cod","Single Family","Average",3,1,"Gas/Oil","Steam","None","	 0500"
4252,"227 LEXINGTON AV",78960,1,1850,0.54,1160,68,"Colonial","Single Family","Average",4,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4253,"233 LEXINGTON AV",81760,1,1900,0.2,1164,68,"Colonial","Single Family","Average",2,1,"Oil/Gas","Steam","None","	 0500"
4254,"237 LEXINGTON AV",132300,1,1900,0.17,1535,90,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4258,"201 SUMMIT ST",130270,1,1955,0.59,1488,68,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","None","	 0600"
4264,"245 SUMMIT ST",170520,1,1974,0.67,2232,83,"Split-Level","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
4265,"255 SUMMIT ST",109060,1,1940,0.79,1174,68,"Ranch","Single Family","Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0600"
4268,"281 SUMMIT ST",117810,1,1935,1.3,1656,68,"Cape Cod","Single Family","Above Average",1,1,"Gas/Oil","Hot Water","None","	 0600"
4269,"293 SUMMIT ST",95410,1,1939,0.46,1287,68,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","Hot Water","None","	 0600"
4272,"303 SUMMIT ST",111930,1,1920,0.11,1718,69,"Cape Cod","Single Family","Average",3,3,"Oil/Gas","FA/HW/ST","None","	 0600"
4273,"309 SUMMIT ST",98980,1,1900,0.22,1656,68,"Colonial","Single Family","Average",4,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4278,"201 EAST GRAND AV",114660,1,2015,0.41,1440,87,"Colonial","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","None","	 0600"
4286,"78 MOUNTAIN TOP LA",97160,1,1969,0.19,920,78,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4287,"72 MOUNTAIN TOP LA",117530,1,1969,0.22,1458,68,"Ranch","Single Family","Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
4290,"15 SKYVIEW LA",91420,1,1967,0.29,1176,68,"Ranch","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0600"
4291,"9 HIGHVIEW LA",103600,1,1962,0.22,1638,68,"Cape Cod","Single Family","Average",4,2,"Oil/Gas","FA/HW/ST","None","	 0600"
4297,"507 RUSSELL ST",73290,1,1900,0.12,1339,68,"Colonial","Single Family","Below Average",4,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4300,"519 RUSSELL ST",84980,1,1900,0.13,1200,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4301,"523 RUSSELL ST",92750,1,1910,0.13,1394,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","Hot Water","None","	 0600"
4307,"25 PEQUOT ST",107310,1,1964,0.13,1848,68,"Colonial","Single Family","Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0600"
4311,"4 PEQUOT ST",81900,1,1952,0.25,768,78,"Ranch","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4316,"90 MOUNTAIN TOP LA",128590,1,1990,0.2,1184,84,"Raised Ranch","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
4317,"539 RUSSELL ST",102410,1,1875,0.17,1608,68,"Colonial","Single Family","Above Average",3,1,"Gas/Oil","FA/HW/ST","Central","	 0600"
4320,"551 RUSSELL ST",75600,1,1944,0.2,1008,68,"Cape Cod","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4321,"29 KINGSWOOD DR",103180,1,1955,0.3,1378,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0600"
4336,"67 HIGHVIEW LA",95830,1,1962,0.23,1072,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4340,"50 LEGEND LA",143010,1,1989,0.29,1276,82,"Raised Ranch","Single Family","Above Average",3,3,"Oil/Gas","FA/HW/ST","Central","	 0600"
4341,"20 SLEEPY HOLLOW CIR #4",121170,1,1988,0.27,1190,82,"Raised Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0600"
4346,"29 MOUNTAIN TOP LA",100380,1,1968,0.25,1008,68,"Ranch","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0600"
4350,"57 MOUNTAIN TOP LA",105840,1,1968,0.35,1196,78,"Ranch","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","Central","	 0600"
4356,"85 MOUNTAIN TOP LA",122710,1,1990,0.17,1184,84,"Raised Ranch","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0600"
4357,"89 MOUNTAIN TOP LA",132440,1,1990,0.35,1392,84,"Raised Ranch","Single Family","Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
4377,"345 SUMMIT ST",139790,1,1900,0.35,1907,78,"Cape Cod","Single Family","Above Average",4,2,"Gas/Oil","FA/HW/ST","None","	 0600"
4382,"357 SUMMIT ST",110880,1,1958,0.93,1267,68,"Ranch","Single Family","Above Average",3,1,"Gas/Oil","Hot Water","None","	 0600"
4383,"365 SUMMIT ST",98840,1,1958,0.18,912,78,"Ranch","Single Family","Average",2,1,"Oil/Gas","Forced Hot Air","Central","	 0600"
4385,"381 SUMMIT ST",111020,1,1938,0.28,1654,68,"Cape Cod","Single Family","Average",4,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4393,"20 CARROLL ST",144690,1,1958,0.34,2009,68,"Ranch","Single Family","Above Average",4,2,"Oil/Gas","Hot Water","None","	 0600"
4398,"212 EAST GRAND AV",85120,1,1962,0.28,1000,68,"Ranch","Single Family","Average",1,1,"Oil/Gas","FA/HW/ST","Central","	 0600"
4403,"39 CARROLL ST",129990,1,1962,0.5,1618,58,"Ranch","Single Family","Ave/Good",3,3,"Gas/Oil","FA/HW/ST","Central","	 0600"
4409,"261 CLIFTON ST",100450,1,1952,0.23,968,68,"Ranch","Single Family","Average",2,1,"Gas/Oil","Hot Water","None","	 0600"
4429,"608 RUSSELL ST",99050,1,1954,0.16,1366,68,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4439,"576 RUSSELL ST",108360,1,1960,0.77,1200,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4443,"564 RUSSELL ST",83020,1,1950,0.16,1140,68,"Cape Cod","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","None","	 0600"
4444,"558 RUSSELL ST",73780,1,1950,0.15,790,68,"Cape Cod","Single Family","Average",2,1,"Gas/Oil","Steam","None","	 0600"
4452,"540 RUSSELL ST",110600,1,2014,0.3,1440,85,"Colonial","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","&nbsp;","	 0600"
4455,"524 RUSSELL ST",86870,1,1900,0.28,1044,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4458,"512 RUSSELL ST",141330,1,1890,0.25,1512,90,"Cape Cod","Single Family","Above Average",3,2,"Oil/Gas","Hot Water","None","	 0600"
4459,"508 RUSSELL ST",81970,1,1900,0.23,1235,68,"Colonial","Single Family","Below Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4462,"492 RUSSELL ST",116060,1,1900,0.21,1310,78,"Cape Cod","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
4463,"272 EAST GRAND AV",118230,1,1942,0.17,1690,68,"Cape Cod","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4464,"266 EAST GRAND AV",103460,1,1929,0.15,1344,68,"Colonial","Single Family","Above Average",3,1,"Gas/Oil","Hot Water","None","	 0600"
4468,"141 CLIFTON ST",196420,1,1900,0.48,2592,68,"Colonial","Single Family","Good",4,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
4472,"95 CARROLL ST",157920,1,1988,0.28,2462,72,"Split-Level","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0600"
4475,"44 ROBERTSON ST",100240,1,1875,0.26,1781,58,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4478,"22 ROBERTSON ST",80780,1,1900,0.14,1086,68,"Colonial","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0600"
4479,"255 LEXINGTON AV",88270,1,1950,0.11,1144,68,"Ranch","Single Family","Average",1,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4481,"265 LEXINGTON AV",173390,1,1910,0.4,3026,68,"Colonial","Single Family","Ave/Good",4,1,"Oil/Gas","FA/HW/ST","None","	 0500"
4491,"264 SUMMIT ST",112070,1,1959,0.21,1372,68,"Ranch","Single Family","Above Average",2,2,"Oil/Gas","FA/HW/ST","None","	 0500"
4496,"14 ELDRIDGE ST",121730,1,1925,0.33,2042,68,"Colonial","Single Family","Above Average",3,1,"Gas/Oil","FA/HW/ST","None","	 0500"
4497,"10 ELDRIDGE ST",94010,1,1962,0.25,1092,68,"Ranch","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0500"
