"pid","address","value","buildings","year","land","living","good","style","model","grade","beds","baths","heatfuel","heattype","ac","nghd"
291,"4 HUGHES ST EX",117040,1,1972,0.34,1092,83,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0300"
307,"11 MASSACHUSETTS AV",146930,1,1986,0.12,1879,82,"Cape Cod","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0300"
327,"53 HUNTINGTON RD",110390,1,1967,0.2,1232,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0300"
340,"821 TOWNSEND AV",222110,1,1957,0.42,2548,78,"Ranch","Single Family","Ave/Good",2,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
341,"29 SOUND VIEW TER",116270,1,1920,0.16,1318,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
346,"85 SOUND VIEW TER",141960,1,1935,0.17,1755,78,"Colonial","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0200"
350,"125 SOUND VIEW TER",104580,1,1935,0.16,1053,68,"Cape Cod","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0200"
357,"174 TUTTLE DR",158480,1,1965,0.21,1701,78,"Ranch","Single Family","Above Average",3,1,"Gas/Oil","Hot Water","Central","	 0200"
360,"150 TUTTLE DR",148050,1,1960,0.28,1360,78,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
361,"144 TUTTLE DR",150500,1,1961,0.28,1530,78,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","Central","	 0200"
366,"104 TUTTLE DR",173110,1,1960,0.35,1946,78,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","Hot Water","None","	 0200"
376,"30 HOPKINS DR",114660,1,1960,0.23,1084,68,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0200"
377,"22 HOPKINS DR",168840,1,1959,0.23,1874,68,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
382,"1 HORSLEY AV",148330,1,1957,0.22,1750,66,"Ranch","Single Family","Above Average",2,2,"Gas/Oil","FA/HW/ST","Central","	 0200"
383,"5 HORSLEY AV",194390,1,1957,0.25,1935,78,"Ranch","Single Family","Above Average",3,2,"Gas/Oil","FA/HW/ST","Central","	 0200"
389,"305 UPSON TER",247940,1,1950,0.36,2826,78,"Colonial","Single Family","Ave/Good",3,2,"Oil/Gas","Hot Water","Central","	 0200"
394,"136 HUNTINGTON RD",136780,1,1962,0.3,1352,78,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
395,"144 HUNTINGTON RD",142170,1,1964,0.32,1378,68,"Ranch","Single Family","Above Average",3,2,"Gas/Oil","Hot Water","None","	 0200"
399,"3 HOPKINS DR",246820,1,1990,0.48,2890,90,"Colonial","Single Family","Ave/Good",4,3,"Oil/Gas","FA/HW/ST","Central","	 0200"
402,"19 HOPKINS DR",141540,1,1950,0.27,1662,68,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","Central","	 0200"
403,"25 HOPKINS DR",150920,1,1962,0.39,1662,68,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0200"
409,"60 SOUND VIEW TER",120820,1,1930,0.18,1374,73,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Hot Air-no Duc","None","	 0200"
418,"175 UPSON TER",132720,1,1935,0.17,1860,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","None","	 0200"
419,"185 UPSON TER",151830,1,1930,0.17,1946,78,"Colonial","Single Family","Above Average",4,1,"Gas/Oil","FA/HW/ST","Central","	 0200"
